core_name,core_type,sample_depth_start,sample_depth_end,latitude,longitude,depth,tex86,fGDGT_0,fGDGT_1,fGDGT_2,fGDGT_3,fGDGT_cren,fGDGT_cren_prime,bit,publicationYear,reference_name,remark,reference_link
SO95-17960,BC,0,1,10.12,115.56,1707,0.723404255,0.179,0.052,0.077,0.01,0.633,0.049,0.06,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
SO95-17962,BC,0,1,7.18,112.08,1970,0.739583333,0.145,0.05,0.071,0.013,0.663,0.058,0.05,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
SO95-17963,BC,0,1,6.17,112.67,1233,0.748743719,0.135,0.05,0.077,0.014,0.667,0.058,0.08,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
SO95-17964,BC,0,1,6.16,112.21,1556,0.738888889,0.119,0.047,0.072,0.015,0.7,0.046,0.05,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
SO95-17965,BC,0,1,6.16,112.55,889,0.744791667,0.137,0.049,0.07,0.013,0.67,0.06,0.08,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
SX15,,0,1,21.25,119.5,2500,0.72972973,0.175,0.05,0.069,0.012,0.64,0.054,0.1,2012,Jia2012,,http://dx.doi.org/10.1016/j.orggeochem.2012.07.002
Conce-1SL,,0,1,-50.6,-74.98333333,191,0.431,0.436267119,0.040756139,0.017811942,0.006370034,0.492092645,0.006702121,0.061,2015,Kaiser2015,,https://doi.org/10.1016/j.orggeochem.2015.10.007
GeoB7118-1,GC,0,1,-25.9833,-70.8,460,0.548,0.365157166,0.063440687,0.049910682,0.007952636,0.494596823,0.018942006,0.024,2015,Kaiser2015,,https://doi.org/10.1016/j.orggeochem.2015.10.007
GeoB7122-2,GC,0,1,-25.9833,-70.8333,673,0.538,0.307882323,0.072354321,0.055075677,0.007343424,0.535637959,0.021706296,0.016,2015,Kaiser2015,,https://doi.org/10.1016/j.orggeochem.2015.10.007
GeoB7129-1,GC,0,1,-28.4167,-71.3167,476,0.534,0.535249976,0.048536126,0.036402094,0.005651467,0.360696549,0.013463788,0.023,2015,Kaiser2015,,https://doi.org/10.1016/j.orggeochem.2015.10.007
GeoB7147-1,GC,0,1,-31.9667,-71.6667,398,0.514,0.455142745,0.061369317,0.043299463,0.006239214,0.41867512,0.015274141,0.022,2015,Kaiser2015,,https://doi.org/10.1016/j.orggeochem.2015.10.007
GeoB7162-4,GC,0,1,-36.5333,-73.6667,798,0.478,0.280991577,0.078901462,0.04789369,0.007387589,0.567889507,0.016936174,0.017,2015,Kaiser2015,,https://doi.org/10.1016/j.orggeochem.2015.10.007
GeoB7182-1,GC,0,1,-44.15,-75.15,301,0.463,0.861817034,0.010585514,0.005427176,0.001436605,0.118456945,0.002276726,0.056,2015,Kaiser2015,,https://doi.org/10.1016/j.orggeochem.2015.10.007
GeoB7187-1,GC,0,1,-44.2833,-75.3833,476,0.436,0.467910435,0.049251644,0.024053129,0.005364229,0.44479198,0.008628583,0.031,2015,Kaiser2015,,https://doi.org/10.1016/j.orggeochem.2015.10.007
GeoB7189-1,GC,0,1,-44.3167,-75.3667,868,0.45,0.43600598,0.066957906,0.036321505,0.005716689,0.442174849,0.012823071,0.023,2015,Kaiser2015,,https://doi.org/10.1016/j.orggeochem.2015.10.007
GeoB7197-1,GC,0,1,-40.9833,-74.55,816,0.453,0.448113823,0.069313579,0.039135141,0.005365952,0.425241633,0.012829871,0.024,2015,Kaiser2015,,https://doi.org/10.1016/j.orggeochem.2015.10.007
